WE(1).Current (A)	WE(1).Potential (V)
-0.017071533203125	-1.2908935546875
-0.017242431640625	-1.2933349609375
-0.01754150390625	-1.2957763671875
-0.017828369140625	-1.2982177734375
-0.01817626953125	-1.300048828125
-0.0183502197265625	-1.30340576171875
-0.018609619140625	-1.30523681640625
-0.0189971923828125	-1.3079833984375
-0.019158935546875	-1.31011962890625
-0.019476318359375	-1.31256103515625
-0.019775390625	-1.3153076171875
-0.0200714111328125	-1.3177490234375
-0.0203155517578125	-1.31988525390625
-0.0205902099609375	-1.32171630859375
-0.02098388671875	-1.3250732421875
-0.0212646484375	-1.32720947265625
-0.0215057373046875	-1.3299560546875
-0.0217132568359375	-1.331787109375
-0.022052001953125	-1.33453369140625
-0.0223785400390625	-1.33697509765625
-0.0225738525390625	-1.3397216796875
-0.0229217529296875	-1.34185791015625
-0.0231964111328125	-1.3446044921875
-0.023541259765625	-1.34765625
-0.0236907958984375	-1.34979248046875
-0.0240081787109375	-1.3519287109375
-0.024334716796875	-1.3543701171875
-0.024664306640625	-1.35650634765625
-0.025006103515625	-1.3592529296875
-0.0252044677734375	-1.361083984375
-0.025555419921875	-1.36444091796875
-0.025860595703125	-1.36627197265625
-0.0259765625	-1.3690185546875
