WE(1).Current (A)	WE(1).Potential (V)
-0.00114013671875	-1.1370849609375
-0.00121429443359375	-1.1395263671875
-0.0012811279296875	-1.14166259765625
-0.0013616943359375	-1.14410400390625
-0.00143707275390625	-1.14593505859375
-0.00152191162109375	-1.1492919921875
-0.00160552978515625	-1.15142822265625
-0.00169464111328125	-1.1541748046875
-0.00178680419921875	-1.156005859375
-0.001881103515625	-1.15875244140625
-0.001978759765625	-1.16119384765625
-0.00208221435546875	-1.16363525390625
-0.0021832275390625	-1.165771484375
-0.00229705810546875	-1.1688232421875
-0.0024029541015625	-1.17156982421875
-0.0025213623046875	-1.17340087890625
-0.0026385498046875	-1.17584228515625
-0.0027557373046875	-1.1785888671875
-0.00288360595703125	-1.1810302734375
-0.00300628662109375	-1.1834716796875
-0.00314544677734375	-1.185302734375
-0.00327880859375	-1.1883544921875
-0.00341156005859375	-1.19140625
-0.00355865478515625	-1.1932373046875
-0.00369781494140625	-1.1956787109375
-0.0038433837890625	-1.19781494140625
-0.0040020751953125	-1.20025634765625
-0.00415374755859375	-1.20330810546875
-0.0043096923828125	-1.2042236328125
-0.00448638916015625	-1.20758056640625
-0.00464263916015625	-1.2103271484375
-0.00481475830078125	-1.2127685546875
-0.0049835205078125	-1.21490478515625
-0.0051605224609375	-1.2176513671875
-0.0053436279296875	-1.22039794921875
-0.0055145263671875	-1.22222900390625
-0.0056976318359375	-1.2249755859375
-0.0058837890625	-1.22711181640625
-0.0060638427734375	-1.2298583984375
-0.0062469482421875	-1.2322998046875
-0.0064727783203125	-1.23504638671875
-0.006671142578125	-1.23748779296875
-0.0068603515625	-1.23992919921875
-0.0070526123046875	-1.24176025390625
-0.0072723388671875	-1.2445068359375
-0.007470703125	-1.24725341796875
-0.0077117919921875	-1.24908447265625
-0.0079010009765625	-1.25152587890625
-0.00810546875	-1.253662109375
-0.008355712890625	-1.25732421875
-0.0085540771484375	-1.2591552734375
-0.0087738037109375	-1.26129150390625
-0.008984375	-1.26373291015625
-0.0092529296875	-1.26617431640625
-0.009478759765625	-1.2689208984375
-0.0096771240234375	-1.2713623046875
-0.009912109375	-1.27410888671875
-0.0101470947265625	-1.27655029296875
-0.0103912353515625	-1.278076171875
-0.0106292724609375	-1.28082275390625
-0.0109100341796875	-1.2835693359375
-0.01109619140625	-1.28631591796875
-0.01136474609375	-1.28814697265625
-0.0115753173828125	-1.29058837890625
-0.011895751953125	-1.2933349609375
-0.012139892578125	-1.2957763671875
-0.0123870849609375	-1.2982177734375
-0.01268310546875	-1.3006591796875
-0.0128448486328125	-1.3031005859375
-0.0131195068359375	-1.304931640625
-0.0134246826171875	-1.30828857421875
-0.013604736328125	-1.31072998046875
-0.013916015625	-1.31256103515625
-0.014190673828125	-1.31561279296875
-0.0144073486328125	-1.31744384765625
-0.0147247314453125	-1.31988525390625
-0.014959716796875	-1.32232666015625
-0.01527099609375	-1.32476806640625
-0.015631103515625	-1.32781982421875
-0.0157562255859375	-1.3299560546875
-0.0162139892578125	-1.331787109375
-0.01632080078125	-1.33514404296875
-0.0166778564453125	-1.33697509765625
-0.0170074462890625	-1.3397216796875
-0.0171295166015625	-1.34246826171875
-0.0175750732421875	-1.34521484375
-0.0178192138671875	-1.34735107421875
-0.0180389404296875	-1.34918212890625
-0.0184112548828125	-1.3519287109375
-0.0187744140625	-1.35406494140625
-0.0189727783203125	-1.35650634765625
-0.0193389892578125	-1.35894775390625
-0.0195281982421875	-1.3616943359375
-0.01993408203125	-1.36444091796875
-0.0201019287109375	-1.3665771484375
-0.0203094482421875	-1.3690185546875
-0.020635986328125	-1.3714599609375
-0.0209686279296875	-1.37359619140625
-0.021337890625	-1.3763427734375
-0.02166748046875	-1.3787841796875
-0.0218292236328125	-1.3812255859375
-0.02242431640625	-1.38336181640625
-0.022381591796875	-1.38580322265625
-0.0228973388671875	-1.3885498046875
-0.02330322265625	-1.39068603515625
-0.0234161376953125	-1.39312744140625
-0.023699951171875	-1.395263671875
-0.024163818359375	-1.3983154296875
-0.024188232421875	-1.4007568359375
